image_path,label,date,time,location,precipitation,cloud_cover,wind_speed
dataset\cloudy\Ho_Chi_Minh_City_2013-01-03.jpg,cloudy,2013-01-03,10:00,Ho_Chi_Minh_City,0.0,97.0,0.45
dataset\rainy\Ho_Chi_Minh_City_2013-02-23.jpg,rainy,2013-02-23,10:00,Ho_Chi_Minh_City,2.8,96.0,1.89
dataset\cloudy\Ho_Chi_Minh_City_2013-01-01.jpg,cloudy,2013-01-01,10:00,Ho_Chi_Minh_City,0.0,81.0,1.1
dataset\sunny\Ho_Chi_Minh_City_2013-01-10.jpg,sunny,2013-01-10,10:00,Ho_Chi_Minh_City,0.0,36.0,1.08
dataset\rainy\Ho_Chi_Minh_City_2014-07-08.jpg,rainy,2014-07-08,10:00,Ho_Chi_Minh_City,2.9,85.0,5.36
dataset\storm\Quang_Ngai_2022-04-01.jpg,storm,2022-04-01,10:00,Quang_Ngai,31.7,100.0,3.18
dataset\sunny\Ho_Chi_Minh_City_2013-01-12.jpg,sunny,2013-01-12,10:00,Ho_Chi_Minh_City,0.0,21.0,2.68
dataset\sunny\Ho_Chi_Minh_City_2013-01-13.jpg,sunny,2013-01-13,10:00,Ho_Chi_Minh_City,0.0,44.0,2.32
dataset\rainy\Ho_Chi_Minh_City_2014-07-22.jpg,rainy,2014-07-22,10:00,Ho_Chi_Minh_City,4.2,100.0,2.0
dataset\storm\Nghe_An_2018-09-20.jpg,storm,2018-09-20,10:00,Nghe_An,33.8,100.0,0.58
dataset\sunny\Ho_Chi_Minh_City_2013-01-14.jpg,sunny,2013-01-14,10:00,Ho_Chi_Minh_City,0.0,10.0,1.87
dataset\cloudy\Ho_Chi_Minh_City_2013-01-04.jpg,cloudy,2013-01-04,10:00,Ho_Chi_Minh_City,0.0,86.0,0.42
dataset\rainy\Ho_Chi_Minh_City_2014-08-26.jpg,rainy,2014-08-26,10:00,Ho_Chi_Minh_City,2.9,100.0,1.62
dataset\cloudy\Ho_Chi_Minh_City_2013-01-05.jpg,cloudy,2013-01-05,10:00,Ho_Chi_Minh_City,0.0,100.0,0.45
dataset\sunny\Ho_Chi_Minh_City_2013-01-16.jpg,sunny,2013-01-16,10:00,Ho_Chi_Minh_City,0.0,31.0,1.5
dataset\rainy\Hanoi_2013-04-21.jpg,rainy,2013-04-21,10:00,Hanoi,3.3,100.0,2.48
dataset\sunny\Ho_Chi_Minh_City_2013-01-17.jpg,sunny,2013-01-17,10:00,Ho_Chi_Minh_City,0.0,23.0,2.06
dataset\cloudy\Ho_Chi_Minh_City_2013-01-08.jpg,cloudy,2013-01-08,10:00,Ho_Chi_Minh_City,0.1,100.0,1.39
dataset\rainy\Hanoi_2013-06-24.jpg,rainy,2013-06-24,10:00,Hanoi,3.7,100.0,4.52
dataset\rainy\Hanoi_2013-05-21.jpg,rainy,2013-05-21,10:00,Hanoi,5.2,96.0,2.28
dataset\cloudy\Ho_Chi_Minh_City_2013-01-09.jpg,cloudy,2013-01-09,10:00,Ho_Chi_Minh_City,0.0,99.0,0.73
dataset\sunny\Ho_Chi_Minh_City_2013-01-19.jpg,sunny,2013-01-19,10:00,Ho_Chi_Minh_City,0.0,0.0,0.45
dataset\cloudy\Ho_Chi_Minh_City_2013-01-11.jpg,cloudy,2013-01-11,10:00,Ho_Chi_Minh_City,0.0,93.0,2.06
dataset\cloudy\Ho_Chi_Minh_City_2013-01-15.jpg,cloudy,2013-01-15,10:00,Ho_Chi_Minh_City,0.0,89.0,2.02
dataset\sunny\Ho_Chi_Minh_City_2013-01-23.jpg,sunny,2013-01-23,10:00,Ho_Chi_Minh_City,0.0,57.0,0.92
dataset\cloudy\Ho_Chi_Minh_City_2013-01-20.jpg,cloudy,2013-01-20,10:00,Ho_Chi_Minh_City,0.0,69.0,1.26
dataset\sunny\Ho_Chi_Minh_City_2013-01-22.jpg,sunny,2013-01-22,10:00,Ho_Chi_Minh_City,0.0,8.0,1.84
dataset\sunny\Ho_Chi_Minh_City_2013-01-25.jpg,sunny,2013-01-25,10:00,Ho_Chi_Minh_City,0.0,4.0,1.56
dataset\cloudy\Ho_Chi_Minh_City_2013-01-21.jpg,cloudy,2013-01-21,10:00,Ho_Chi_Minh_City,0.0,88.0,1.49
dataset\rainy\Hanoi_2015-06-24.jpg,rainy,2015-06-24,10:00,Hanoi,2.4,100.0,5.33
dataset\rainy\Hanoi_2014-04-26.jpg,rainy,2014-04-26,10:00,Hanoi,2.1,66.0,2.16
dataset\rainy\Hanoi_2014-09-17.jpg,rainy,2014-09-17,10:00,Hanoi,2.1,100.0,6.33
dataset\cloudy\Ho_Chi_Minh_City_2013-01-24.jpg,cloudy,2013-01-24,10:00,Ho_Chi_Minh_City,0.0,75.0,1.34
dataset\sunny\Ho_Chi_Minh_City_2013-01-27.jpg,sunny,2013-01-27,10:00,Ho_Chi_Minh_City,0.0,8.0,1.71
dataset\sunny\Ho_Chi_Minh_City_2013-01-26.jpg,sunny,2013-01-26,10:00,Ho_Chi_Minh_City,0.0,31.0,1.77
dataset\cloudy\Ho_Chi_Minh_City_2013-01-28.jpg,cloudy,2013-01-28,10:00,Ho_Chi_Minh_City,0.0,79.0,0.8
dataset\rainy\Hanoi_2015-08-29.jpg,rainy,2015-08-29,10:00,Hanoi,2.4,100.0,1.3
